order_id,session_id,client_id,address_id,store_id,city,platform,order_created_at,order_date,delivery_slot_start,items_count,gross_merchandise_value,discount_type,discount_amount,delivery_fee,service_fee,paid_amount,payment_method,campaign_id,experiment_group,is_marketing_touched
O000000022,SESS000000139,C003813,A0000496,S080,Москва,ios,2025-11-01 12:39:39,2025-11-01,2025-11-01 19:00:00,8,4520.51,fixed_amount,200.0,0,67.81,4388.32,card,,no_campaign,0
O000000065,SESS000000376,C001639,A0005695,S002,Новосибирск,android,2025-11-01 12:39:59,2025-11-01,2025-11-01 15:00:00,10,2347.91,none,0.0,149,35.22,2532.13,card,,no_campaign,0
O000000075,SESS000000445,C005853,A0014429,S070,Екатеринбург,ios,2025-11-01 12:41:40,2025-11-01,2025-11-01 12:00:00,5,2703.04,percent,270.3,99,0.0,2531.73,card,,no_campaign,0
O000000109,SESS000000641,C008368,A0013582,S074,Казань,ios,2025-11-01 12:47:29,2025-11-01,2025-11-01 22:00:00,13,2277.97,fixed_amount,300.0,99,34.17,2111.14,cash,,no_campaign,0
O000000001,SESS000000004,C002232,A0011272,S078,Москва,web,2025-11-01 12:54:19,2025-11-01,2025-11-01 19:00:00,15,2385.24,none,0.0,149,47.7,2581.94,cash,,no_campaign,0
O000000013,SESS000000097,C001730,A0005472,S004,Санкт-Петербург,ios,2025-11-01 12:55:17,2025-11-01,2025-11-01 18:00:00,8,2366.11,none,0.0,99,0.0,2465.11,sbp,,no_campaign,0
O000000104,SESS000000607,C001822,A0010350,S046,Москва,ios,2025-11-01 12:58:50,2025-11-01,2025-11-01 20:00:00,13,4852.35,none,0.0,99,72.79,5024.14,card,,no_campaign,0
O000000113,SESS000000655,C007467,A0010229,S073,Казань,android,2025-11-01 13:05:58,2025-11-01,2025-11-01 20:00:00,8,1134.44,none,0.0,0,0.0,1134.44,card,CMP0001,test,1
O000000043,SESS000000250,C005897,A0012091,S039,Екатеринбург,web,2025-11-01 13:12:14,2025-11-01,2025-11-01 22:00:00,13,2514.04,none,0.0,99,50.28,2663.32,card,,no_campaign,0
O000000098,SESS000000576,C006331,A0004925,S071,Москва,android,2025-11-01 13:15:13,2025-11-01,2025-11-01 17:00:00,5,1769.35,none,0.0,0,35.39,1804.74,card,,no_campaign,0
O000000007,SESS000000040,C002347,A0010291,S037,Санкт-Петербург,android,2025-11-01 13:18:21,2025-11-01,2025-11-01 11:00:00,8,1436.79,none,0.0,99,28.74,1564.53,card,,no_campaign,0
O000000101,SESS000000592,C000098,A0000650,S021,Москва,ios,2025-11-01 13:26:19,2025-11-01,2025-11-01 19:00:00,10,1791.62,none,0.0,99,35.83,1926.45,card,,no_campaign,0
O000000155,SESS000000828,C006828,A0002457,S007,Москва,ios,2025-11-01 13:34:46,2025-11-01,2025-11-01 10:00:00,6,1303.1,none,0.0,149,26.06,1478.16,card,,no_campaign,0
O000000068,SESS000000405,C008198,A0012294,S073,Москва,android,2025-11-01 13:40:55,2025-11-01,2025-11-01 21:00:00,12,2486.7,none,0.0,149,0.0,2635.7,sbp,,no_campaign,0
O000000114,SESS000000656,C006132,A0010736,S015,Казань,android,2025-11-01 13:44:27,2025-11-01,2025-11-01 17:00:00,8,3316.72,none,0.0,99,49.75,3465.47,card,,no_campaign,0
O000000137,SESS000000765,C006864,A0003679,S064,Москва,ios,2025-11-01 13:47:03,2025-11-01,2025-11-01 12:00:00,10,4906.12,percent,343.43,99,73.59,4735.28,card,,no_campaign,0
O000000083,SESS000000493,C005973,A0003971,S021,Казань,ios,2025-11-01 13:52:27,2025-11-01,2025-11-01 15:00:00,11,1598.6,none,0.0,199,23.98,1821.58,card,,no_campaign,0
O000000087,SESS000000515,C001326,A0014414,S015,Москва,android,2025-11-01 13:58:24,2025-11-01,2025-11-01 16:00:00,9,2309.19,none,0.0,0,0.0,2309.19,card,,no_campaign,0
O000000124,SESS000000699,C001625,A0010043,S047,Москва,ios,2025-11-01 13:58:27,2025-11-01,2025-11-01 12:00:00,6,3569.95,percent,178.5,0,71.4,3462.85,card,,no_campaign,0
O000000141,SESS000000773,C002144,A0004192,S028,Москва,web,2025-11-01 14:01:11,2025-11-01,2025-11-01 11:00:00,15,3861.79,none,0.0,0,57.93,3919.72,card,,no_campaign,0
O000000046,SESS000000261,C000176,A0014718,S065,Москва,ios,2025-11-01 14:01:20,2025-11-01,2025-11-01 21:00:00,12,2521.69,none,0.0,99,37.83,2658.52,card,,no_campaign,0
O000000129,SESS000000725,C002806,A0013300,S005,Новосибирск,ios,2025-11-01 14:03:04,2025-11-01,2025-11-01 10:00:00,9,3098.54,free_delivery,0.0,0,0.0,3098.54,sbp,,no_campaign,0
O000000157,SESS000000831,C001691,A0013109,S047,Москва,android,2025-11-01 14:04:01,2025-11-01,2025-11-01 14:00:00,10,2499.55,fixed_amount,300.0,99,0.0,2298.55,sbp,,no_campaign,0
O000000066,SESS000000394,C005839,A0006168,S058,Санкт-Петербург,ios,2025-11-01 14:08:08,2025-11-01,2025-11-01 13:00:00,16,2733.09,fixed_amount,300.0,0,54.66,2487.75,card,CMP0001,control,1
O000000037,SESS000000205,C000997,A0003476,S005,Екатеринбург,android,2025-11-01 14:17:52,2025-11-01,2025-11-01 18:00:00,14,3355.61,fixed_amount,150.0,149,67.11,3421.72,card,,no_campaign,0
O000000173,SESS000000893,C006538,A0007359,S072,Екатеринбург,android,2025-11-01 14:22:50,2025-11-01,2025-11-01 10:00:00,8,2278.72,none,0.0,149,34.18,2461.9,card,CMP0001,control,1
O000000053,SESS000000301,C005310,A0001306,S057,Екатеринбург,ios,2025-11-01 14:29:06,2025-11-01,2025-11-01 22:00:00,6,4393.27,fixed_amount,200.0,99,65.9,4358.17,card,,no_campaign,0
O000000144,SESS000000792,C008034,A0011860,S072,Москва,ios,2025-11-01 14:35:39,2025-11-01,2025-11-01 21:00:00,6,1915.37,none,0.0,199,28.73,2143.1,card,,no_campaign,0
O000000067,SESS000000403,C007695,A0002078,S025,Новосибирск,web,2025-11-01 14:38:51,2025-11-01,2025-11-01 18:00:00,6,4020.91,none,0.0,149,80.42,4250.33,cash,,no_campaign,0
O000000116,SESS000000663,C007798,A0013614,S077,Москва,web,2025-11-01 14:41:03,2025-11-01,2025-11-01 16:00:00,9,1737.28,none,0.0,199,26.06,1962.34,card,,no_campaign,0
O000000085,SESS000000509,C000082,A0014138,S071,Санкт-Петербург,android,2025-11-01 14:42:21,2025-11-01,2025-11-01 15:00:00,18,2935.94,none,0.0,149,44.04,3128.98,card,,no_campaign,0
O000000060,SESS000000344,C005131,A0011732,S067,Санкт-Петербург,ios,2025-11-01 14:44:39,2025-11-01,2025-11-01 11:00:00,17,2008.19,none,0.0,0,30.12,2038.31,card,CMP0001,test,1
O000000042,SESS000000247,C006769,A0007239,S073,Екатеринбург,ios,2025-11-01 14:48:36,2025-11-01,2025-11-01 16:00:00,11,3319.01,none,0.0,149,49.79,3517.8,card,,no_campaign,0
O000000158,SESS000000832,C002464,A0004510,S011,Санкт-Петербург,ios,2025-11-01 14:50:24,2025-11-01,2025-11-01 17:00:00,9,2933.74,none,0.0,0,44.01,2977.75,card,,no_campaign,0
O000000094,SESS000000543,C005063,A0014781,S058,Москва,android,2025-11-01 14:53:51,2025-11-01,2025-11-01 15:00:00,14,3628.07,none,0.0,99,0.0,3727.07,sbp,,no_campaign,0
O000000118,SESS000000666,C007842,A0008193,S033,Москва,android,2025-11-01 14:54:47,2025-11-01,2025-11-01 21:00:00,9,3224.76,none,0.0,0,0.0,3224.76,card,,no_campaign,0
O000000108,SESS000000640,C006713,A0001177,S058,Санкт-Петербург,web,2025-11-01 14:58:08,2025-11-01,2025-11-01 19:00:00,9,1780.3,none,0.0,149,26.7,1956.0,card,,no_campaign,0
O000000131,SESS000000729,C001755,A0004613,S016,Новосибирск,web,2025-11-01 15:04:58,2025-11-01,2025-11-01 11:00:00,19,2187.81,none,0.0,149,32.82,2369.63,sbp,,no_campaign,0
O000000123,SESS000000695,C005726,A0000085,S069,Санкт-Петербург,android,2025-11-01 15:09:00,2025-11-01,2025-11-01 17:00:00,9,2879.82,percent,287.98,99,0.0,2690.84,sbp,,no_campaign,0
O000000164,SESS000000853,C002399,A0006187,S049,Санкт-Петербург,ios,2025-11-01 15:12:42,2025-11-01,2025-11-01 19:00:00,8,2612.13,none,0.0,0,39.18,2651.31,card,,no_campaign,0
O000000010,SESS000000072,C004825,A0010330,S049,Санкт-Петербург,android,2025-11-01 15:13:03,2025-11-01,2025-11-01 11:00:00,8,2858.28,none,0.0,149,0.0,3007.28,card,,no_campaign,0
O000000038,SESS000000216,C006441,A0011312,S061,Москва,android,2025-11-01 15:21:37,2025-11-01,2025-11-01 20:00:00,5,735.54,free_delivery,0.0,0,0.0,735.54,card,,no_campaign,0
O000000029,SESS000000169,C004684,A0009424,S004,Москва,ios,2025-11-01 15:22:10,2025-11-01,2025-11-01 14:00:00,16,1769.66,none,0.0,99,26.54,1895.2,card,,no_campaign,0
O000000143,SESS000000790,C004151,A0007909,S023,Москва,ios,2025-11-01 15:27:28,2025-11-01,2025-11-01 20:00:00,9,1961.73,none,0.0,99,39.23,2099.96,card,,no_campaign,0
O000000048,SESS000000269,C007012,A0014116,S069,Казань,android,2025-11-01 15:39:15,2025-11-01,2025-11-01 11:00:00,13,3513.88,none,0.0,99,0.0,3612.88,card,,no_campaign,0
O000000128,SESS000000719,C004158,A0013319,S016,Екатеринбург,ios,2025-11-01 15:45:42,2025-11-01,2025-11-01 13:00:00,10,3368.18,none,0.0,199,50.52,3617.7,card,,no_campaign,0
O000000138,SESS000000767,C006826,A0007829,S008,Казань,android,2025-11-01 15:47:14,2025-11-01,2025-11-01 15:00:00,12,2315.97,free_delivery,0.0,0,0.0,2315.97,sbp,,no_campaign,0
O000000095,SESS000000557,C000209,A0000704,S015,Москва,ios,2025-11-01 15:53:57,2025-11-01,2025-11-01 17:00:00,17,2656.19,none,0.0,99,39.84,2795.03,card,,no_campaign,0
O000000163,SESS000000850,C002706,A0007477,S037,Казань,web,2025-11-01 15:56:33,2025-11-01,2025-11-01 15:00:00,9,1487.68,fixed_amount,200.0,0,0.0,1287.68,sbp,,no_campaign,0
O000000014,SESS000000108,C008023,A0013945,S066,Казань,android,2025-11-01 16:00:28,2025-11-01,2025-11-01 11:00:00,14,3324.28,none,0.0,99,49.86,3473.14,card,,no_campaign,0
O000000168,SESS000000871,C001927,A0006324,S069,Санкт-Петербург,ios,2025-11-01 16:05:10,2025-11-01,2025-11-01 15:00:00,16,4555.74,none,0.0,199,0.0,4754.74,sbp,,no_campaign,0
O000000034,SESS000000190,C005166,A0012139,S044,Новосибирск,web,2025-11-01 16:05:53,2025-11-01,2025-11-01 12:00:00,3,1845.46,percent,92.27,99,27.68,1879.86,card,CMP0001,test,1
O000000140,SESS000000770,C005571,A0011173,S063,Новосибирск,android,2025-11-01 16:09:30,2025-11-01,2025-11-01 16:00:00,4,2058.25,none,0.0,149,30.87,2238.12,card,,no_campaign,0
O000000076,SESS000000446,C007833,A0002688,S058,Москва,android,2025-11-01 16:10:22,2025-11-01,2025-11-01 18:00:00,8,3588.7,none,0.0,0,53.83,3642.53,card,,no_campaign,0
O000000016,SESS000000122,C006844,A0005746,S040,Москва,ios,2025-11-01 16:10:56,2025-11-01,2025-11-01 14:00:00,8,3374.93,percent,236.24,99,0.0,3237.68,sbp,,no_campaign,0
O000000110,SESS000000643,C007715,A0000012,S005,Москва,ios,2025-11-01 16:12:57,2025-11-01,2025-11-01 16:00:00,8,2151.43,percent,150.6,99,0.0,2099.83,card,,no_campaign,0
O000000102,SESS000000594,C000987,A0013842,S047,Санкт-Петербург,ios,2025-11-01 16:14:38,2025-11-01,2025-11-01 16:00:00,9,1464.73,none,0.0,99,21.97,1585.7,cash,,no_campaign,0
O000000106,SESS000000616,C008435,A0006276,S051,Новосибирск,ios,2025-11-01 16:15:22,2025-11-01,2025-11-01 16:00:00,8,3513.38,none,0.0,199,52.7,3765.08,card,,no_campaign,0
O000000156,SESS000000829,C006622,A0002520,S080,Москва,ios,2025-11-01 16:19:02,2025-11-01,2025-11-01 18:00:00,15,4450.82,none,0.0,0,66.76,4517.58,card,CMP0001,test,1
O000000047,SESS000000266,C005861,A0003239,S073,Москва,web,2025-11-01 16:19:29,2025-11-01,2025-11-01 17:00:00,13,2095.09,none,0.0,149,31.43,2275.52,card,,no_campaign,0
O000000107,SESS000000627,C000844,A0013026,S012,Новосибирск,android,2025-11-01 16:19:57,2025-11-01,2025-11-01 20:00:00,12,3095.37,none,0.0,199,46.43,3340.8,cash,,no_campaign,0
O000000050,SESS000000272,C004977,A0008068,S023,Москва,ios,2025-11-01 16:20:12,2025-11-01,2025-11-01 12:00:00,4,4438.58,none,0.0,99,88.77,4626.35,card,,no_campaign,0
O000000146,SESS000000804,C006927,A0011207,S048,Москва,android,2025-11-01 16:26:19,2025-11-01,2025-11-01 17:00:00,11,4936.1,none,0.0,0,0.0,4936.1,card,,no_campaign,0
O000000021,SESS000000133,C002519,A0003783,S077,Санкт-Петербург,ios,2025-11-01 16:29:32,2025-11-01,2025-11-01 11:00:00,10,2144.73,none,0.0,99,0.0,2243.73,card,CMP0001,control,1
O000000028,SESS000000159,C003812,A0002769,S072,Москва,android,2025-11-01 16:34:38,2025-11-01,2025-11-01 13:00:00,11,2361.63,none,0.0,199,35.42,2596.05,card,,no_campaign,0
O000000091,SESS000000524,C005790,A0012866,S026,Москва,ios,2025-11-01 16:34:51,2025-11-01,2025-11-01 10:00:00,5,2032.3,percent,101.62,0,40.65,1971.34,card,,no_campaign,0
O000000011,SESS000000075,C001957,A0010771,S012,Санкт-Петербург,ios,2025-11-01 16:36:52,2025-11-01,2025-11-01 10:00:00,4,3546.01,percent,177.3,99,53.19,3520.9,sbp,,no_campaign,0
O000000133,SESS000000734,C006157,A0013574,S041,Казань,android,2025-11-01 16:38:22,2025-11-01,2025-11-01 13:00:00,8,2677.81,none,0.0,0,40.17,2717.98,card,,no_campaign,0
O000000032,SESS000000183,C004566,A0009733,S031,Екатеринбург,android,2025-11-01 16:39:27,2025-11-01,2025-11-01 19:00:00,13,1759.33,percent,87.97,99,35.19,1805.55,card,,no_campaign,0
O000000064,SESS000000360,C001572,A0002726,S073,Москва,android,2025-11-01 16:41:17,2025-11-01,2025-11-01 10:00:00,6,4379.17,none,0.0,99,65.69,4543.86,card,,no_campaign,0
O000000136,SESS000000763,C005097,A0001738,S067,Екатеринбург,android,2025-11-01 16:43:05,2025-11-01,2025-11-01 17:00:00,9,5438.14,none,0.0,0,81.57,5519.71,card,,no_campaign,0
O000000012,SESS000000085,C006801,A0014286,S076,Москва,web,2025-11-01 16:45:35,2025-11-01,2025-11-01 19:00:00,12,1933.98,none,0.0,199,38.68,2171.66,card,,no_campaign,0
O000000151,SESS000000817,C006810,A0012291,S051,Москва,ios,2025-11-01 16:47:59,2025-11-01,2025-11-01 21:00:00,9,4040.39,none,0.0,149,0.0,4189.39,card,,no_campaign,0
O000000044,SESS000000255,C006350,A0003952,S064,Санкт-Петербург,ios,2025-11-01 16:55:26,2025-11-01,2025-11-01 12:00:00,12,4981.63,none,0.0,99,74.72,5155.35,card,,no_campaign,0
O000000147,SESS000000810,C007095,A0012171,S078,Москва,ios,2025-11-01 16:55:53,2025-11-01,2025-11-01 16:00:00,10,3754.28,none,0.0,0,56.31,3810.59,sbp,,no_campaign,0
O000000057,SESS000000313,C008293,A0002443,S014,Москва,web,2025-11-01 16:58:01,2025-11-01,2025-11-01 16:00:00,14,1842.77,none,0.0,149,0.0,1991.77,card,CMP0001,control,1
O000000171,SESS000000875,C007534,A0009389,S022,Москва,ios,2025-11-01 17:06:20,2025-11-01,2025-11-01 16:00:00,10,1889.2,none,0.0,149,28.34,2066.54,card,,no_campaign,0
O000000080,SESS000000481,C007773,A0005171,S016,Москва,web,2025-11-01 17:18:32,2025-11-01,2025-11-01 18:00:00,11,1456.1,none,0.0,199,0.0,1655.1,card,,no_campaign,0
O000000090,SESS000000521,C000841,A0011702,S059,Москва,android,2025-11-01 17:25:15,2025-11-01,2025-11-01 11:00:00,8,1649.93,none,0.0,99,0.0,1748.93,card,,no_campaign,0
O000000130,SESS000000727,C001562,A0012027,S057,Москва,ios,2025-11-01 17:29:23,2025-11-01,2025-11-01 10:00:00,12,2046.59,none,0.0,99,30.7,2176.29,card,CMP0001,control,1
O000000086,SESS000000510,C004427,A0004150,S014,Москва,android,2025-11-01 17:30:53,2025-11-01,2025-11-01 18:00:00,10,1896.01,none,0.0,99,28.44,2023.45,card,,no_campaign,0
O000000082,SESS000000490,C001817,A0011700,S026,Москва,android,2025-11-01 17:43:09,2025-11-01,2025-11-01 11:00:00,12,2645.52,free_delivery,0.0,0,52.91,2698.43,sbp,,no_campaign,0
O000000069,SESS000000416,C003730,A0010701,S014,Санкт-Петербург,ios,2025-11-01 17:43:39,2025-11-01,2025-11-01 13:00:00,10,1994.12,none,0.0,199,29.91,2223.03,card,,no_campaign,0
O000000049,SESS000000270,C002994,A0000338,S023,Москва,android,2025-11-01 17:44:06,2025-11-01,2025-11-01 13:00:00,8,976.59,fixed_amount,150.0,99,0.0,925.59,card,,no_campaign,0
O000000088,SESS000000519,C006695,A0005840,S069,Санкт-Петербург,ios,2025-11-01 17:44:30,2025-11-01,2025-11-01 16:00:00,17,886.46,none,0.0,149,13.3,1048.76,card,,no_campaign,0
O000000035,SESS000000200,C003834,A0007654,S053,Москва,web,2025-11-01 17:46:39,2025-11-01,2025-11-01 22:00:00,7,2041.47,percent,204.15,0,0.0,1837.33,cash,,no_campaign,0
O000000134,SESS000000746,C002701,A0010355,S029,Санкт-Петербург,ios,2025-11-01 18:11:02,2025-11-01,2025-11-01 11:00:00,9,2142.07,none,0.0,199,0.0,2341.07,card,,no_campaign,0
O000000115,SESS000000657,C001136,A0007180,S036,Москва,ios,2025-11-01 18:14:40,2025-11-01,2025-11-01 15:00:00,14,2449.4,none,0.0,199,48.99,2697.39,card,,no_campaign,0
O000000020,SESS000000131,C008337,A0013015,S074,Новосибирск,android,2025-11-01 18:16:56,2025-11-01,2025-11-01 20:00:00,12,1813.24,percent,181.32,99,27.2,1758.12,sbp,,no_campaign,0
O000000162,SESS000000842,C007311,A0002991,S022,Новосибирск,ios,2025-11-01 18:17:48,2025-11-01,2025-11-01 10:00:00,12,6446.8,none,0.0,99,96.7,6642.5,card,,no_campaign,0
O000000017,SESS000000125,C002393,A0006823,S058,Москва,android,2025-11-01 18:29:51,2025-11-01,2025-11-01 10:00:00,7,2436.72,none,0.0,99,0.0,2535.72,card,,no_campaign,0
O000000142,SESS000000780,C007000,A0006240,S015,Санкт-Петербург,web,2025-11-01 18:33:26,2025-11-01,2025-11-01 11:00:00,7,2222.44,none,0.0,99,33.34,2354.78,card,,no_campaign,0
O000000165,SESS000000857,C001760,A0014566,S077,Санкт-Петербург,ios,2025-11-01 18:38:21,2025-11-01,2025-11-01 11:00:00,6,2208.24,none,0.0,199,0.0,2407.24,card,,no_campaign,0
O000000176,SESS000000903,C001073,A0011431,S060,Москва,ios,2025-11-01 18:38:29,2025-11-01,2025-11-01 21:00:00,3,3903.19,none,0.0,149,0.0,4052.19,sbp,,no_campaign,0
O000000056,SESS000000311,C007545,A0001099,S019,Москва,ios,2025-11-01 18:39:59,2025-11-01,2025-11-01 17:00:00,5,3248.75,none,0.0,99,64.98,3412.73,sbp,,no_campaign,0
O000000071,SESS000000421,C006638,A0001961,S020,Санкт-Петербург,ios,2025-11-01 18:54:11,2025-11-01,2025-11-01 13:00:00,9,2440.06,none,0.0,199,48.8,2687.86,card,,no_campaign,0
O000000040,SESS000000231,C002203,A0012766,S012,Москва,ios,2025-11-01 18:56:41,2025-11-01,2025-11-01 22:00:00,11,1811.13,none,0.0,199,0.0,2010.13,card,,no_campaign,0
O000000093,SESS000000538,C004492,A0010016,S017,Санкт-Петербург,android,2025-11-01 18:56:41,2025-11-01,2025-11-01 22:00:00,4,2878.12,none,0.0,149,57.56,3084.68,sbp,,no_campaign,0
O000000004,SESS000000016,C006398,A0012790,S021,Москва,ios,2025-11-01 18:57:00,2025-11-01,2025-11-01 21:00:00,8,3992.88,none,0.0,199,0.0,4191.88,sbp,,no_campaign,0
O000000167,SESS000000863,C000578,A0001965,S013,Новосибирск,android,2025-11-01 18:57:13,2025-11-01,2025-11-01 11:00:00,15,2346.13,none,0.0,149,0.0,2495.13,card,,no_campaign,0
O000000018,SESS000000128,C000889,A0013093,S029,Москва,android,2025-11-01 19:06:55,2025-11-01,2025-11-01 10:00:00,9,1581.31,none,0.0,0,23.72,1605.03,card,CMP0001,control,1
O000000052,SESS000000289,C007873,A0001831,S002,Новосибирск,ios,2025-11-01 19:25:51,2025-11-01,2025-11-01 20:00:00,2,2734.26,none,0.0,149,54.69,2937.95,card,,no_campaign,0
O000000149,SESS000000814,C001889,A0014693,S028,Санкт-Петербург,web,2025-11-01 19:26:26,2025-11-01,2025-11-01 11:00:00,6,3825.22,percent,382.52,149,57.38,3649.08,card,CMP0001,test,1
O000000084,SESS000000504,C005703,A0007227,S033,Санкт-Петербург,android,2025-11-01 19:28:16,2025-11-01,2025-11-01 14:00:00,9,1623.45,none,0.0,149,32.47,1804.92,card,,no_campaign,0
O000000005,SESS000000031,C001158,A0009672,S057,Екатеринбург,ios,2025-11-01 19:30:05,2025-11-01,2025-11-01 21:00:00,6,1821.21,percent,91.06,0,36.42,1766.57,card,,no_campaign,0
O000000039,SESS000000217,C004966,A0005839,S077,Москва,android,2025-11-01 19:30:08,2025-11-01,2025-11-01 18:00:00,15,1172.58,none,0.0,0,0.0,1172.58,cash,CMP0001,test,1
O000000063,SESS000000357,C003336,A0007952,S010,Казань,ios,2025-11-01 19:31:52,2025-11-01,2025-11-01 22:00:00,13,2539.09,none,0.0,99,50.78,2688.87,card,,no_campaign,0
O000000111,SESS000000650,C004614,A0011596,S050,Москва,android,2025-11-01 19:35:21,2025-11-01,2025-11-01 15:00:00,11,4429.01,fixed_amount,300.0,199,66.44,4394.45,card,CMP0001,control,1
O000000159,SESS000000835,C002930,A0010398,S037,Москва,android,2025-11-01 19:36:26,2025-11-01,2025-11-01 12:00:00,10,2753.41,none,0.0,149,41.3,2943.71,card,,no_campaign,0
O000000177,SESS000000909,C001382,A0010765,S077,Москва,android,2025-11-01 19:38:33,2025-11-01,2025-11-01 14:00:00,9,2212.81,none,0.0,149,44.26,2406.07,card,,no_campaign,0
